수집시간,매물유형,매물ID,거래유형,단지명,시도,구군,읍면동,보증금(만원),월세(만원),매매가(만원),면적(m2),평,층,방향,URL
2026-06-04 06:52:11,아파트,47199316,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,61500,0,61500,96.18,29.09,저,,https://www.zigbang.com/home/apt/items/47199316
2026-06-04 06:52:11,아파트,47199200,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,61000,0,61000,96.18,29.09,저,,https://www.zigbang.com/home/apt/items/47199200
2026-06-04 06:52:11,아파트,47198712,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,66000,0,66000,96.18,29.09,저,,https://www.zigbang.com/home/apt/items/47198712
2026-06-04 06:52:11,아파트,47193648,매매,일광신도시대성베르힐,,기장군,부산광역시 기장군 기장읍,40500,0,40500,84.39,25.53,1,,https://www.zigbang.com/home/apt/items/47193648
2026-06-04 06:52:11,아파트,47192885,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,75000,0,75000,84.96,25.7,중,,https://www.zigbang.com/home/apt/items/47192885
2026-06-04 06:52:11,아파트,47818154,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,56000,0,56000,84.91,25.68,중,,https://www.zigbang.com/home/apt/items/47818154
2026-06-04 06:52:11,아파트,47191950,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,61540,0,61540,84.77,25.64,중,,https://www.zigbang.com/home/apt/items/47191950
2026-06-04 06:52:11,아파트,47191517,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,52000,0,52000,75.55,22.86,저,,https://www.zigbang.com/home/apt/items/47191517
2026-06-04 06:52:11,아파트,47191375,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,57000,0,57000,84.91,25.68,고,,https://www.zigbang.com/home/apt/items/47191375
2026-06-04 06:52:11,아파트,47816948,매매,일광신도시대성베르힐,,기장군,부산광역시 기장군 기장읍,45000,0,45000,84.55,25.58,중,,https://www.zigbang.com/home/apt/items/47816948
2026-06-04 06:52:11,아파트,48233078,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,60880,0,60880,84.89,25.68,고,,https://www.zigbang.com/home/apt/items/48233078
2026-06-04 06:52:11,아파트,47742875,매매,e편한세상일광,,기장군,부산광역시 기장군 기장읍,57000,0,57000,84.99,25.71,중,,https://www.zigbang.com/home/apt/items/47742875
2026-06-04 06:52:11,아파트,48671863,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,65000,0,65000,84.91,25.68,중,,https://www.zigbang.com/home/apt/items/48671863
2026-06-04 06:52:11,아파트,47190204,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,61790,0,61790,84.77,25.64,고,,https://www.zigbang.com/home/apt/items/47190204
2026-06-04 06:52:11,아파트,204903,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,60380,0,60380,84.77,25.64,13,,https://www.zigbang.com/home/apt/items/204903
2026-06-04 06:52:11,아파트,47190026,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,67000,0,67000,84.97,25.7,중,,https://www.zigbang.com/home/apt/items/47190026
