[03:06:30] 캐시 로드: 0개 완료 항목
[03:06:30] ==============================================================
[03:06:30]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[03:06:30]   precision: 5 → 7 | 세분화 임계: 400건
[03:06:30]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260821
[03:06:30] ==============================================================
[03:06:30] 지오해시 타일: 16891개 (precision=5)
[03:06:30] 
[1/3] 아파트 수집 ─────────────────────────────────
[03:06:39]   읍면동 18401개 확인
[04:10:29]   3300/50673 타일 | 64건 | 3840s
[04:10:34]   3400/50673 타일 | 64건 | 3844s
[04:10:39]   3500/50673 타일 | 64건 | 3849s
[04:10:44]   3600/50673 타일 | 64건 | 3854s
[04:10:49]   3700/50673 타일 | 74건 | 3860s
[04:10:54]   3800/50673 타일 | 94건 | 3865s
[04:11:00]   3900/50673 타일 | 94건 | 3870s
[04:11:06]   4000/50673 타일 | 94건 | 3876s
[04:11:11]   4100/50673 타일 | 94건 | 3881s
[04:11:16]   4200/50673 타일 | 94건 | 3886s
[04:11:21]   4300/50673 타일 | 94건 | 3891s
[04:11:26]   4400/50673 타일 | 94건 | 3896s
[04:11:30]   4500/50673 타일 | 94건 | 3901s
[04:11:35]   4600/50673 타일 | 94건 | 3906s
[04:11:40]   4700/50673 타일 | 94건 | 3911s
[04:11:46]   4800/50673 타일 | 94건 | 3916s
[04:11:50]   4900/50673 타일 | 94건 | 3921s
[04:11:55]   5000/50673 타일 | 94건 | 3926s
[04:12:00]   5100/50673 타일 | 94건 | 3931s
[04:12:06]   5200/50673 타일 | 94건 | 3936s
[04:12:11]   5300/50673 타일 | 95건 | 3941s
[04:12:16]   5400/50673 타일 | 95건 | 3946s
[04:12:21]   5500/50673 타일 | 95건 | 3951s
[04:12:26]   5600/50673 타일 | 95건 | 3957s
[04:12:31]   5700/50673 타일 | 95건 | 3961s
[04:12:36]   5800/50673 타일 | 95건 | 3967s
[04:12:41]   5900/50673 타일 | 95건 | 3972s
[04:12:47]   6000/50673 타일 | 129건 | 3978s
[04:12:53]   6100/50673 타일 | 131건 | 3983s
[04:12:58]   6200/50673 타일 | 169건 | 3989s
[04:13:04]   6300/50673 타일 | 206건 | 3995s
[04:13:09]   6400/50673 타일 | 206건 | 3999s
[04:13:14]   6500/50673 타일 | 206건 | 4004s
[04:13:19]   6600/50673 타일 | 206건 | 4009s
[04:13:24]   6700/50673 타일 | 206건 | 4014s
[04:13:29]   6800/50673 타일 | 206건 | 4019s
[04:13:34]   6900/50673 타일 | 206건 | 4025s
[04:13:39]   7000/50673 타일 | 206건 | 4030s
[04:13:45]   7100/50673 타일 | 241건 | 4035s
[04:13:50]   7200/50673 타일 | 241건 | 4040s
[04:13:56]   7300/50673 타일 | 270건 | 4046s
[04:14:00]     🔍 세분화: 원룸/wy60p → 427건 (p5→6)
[04:14:03]   7400/50673 타일 | 299건 | 4054s
[04:14:09]   7500/50673 타일 | 299건 | 4059s
[04:14:16]   7600/50673 타일 | 315건 | 4066s
[04:14:21]   7700/50673 타일 | 331건 | 4071s
[04:14:26]   7800/50673 타일 | 331건 | 4076s
[04:14:29]     🔍 세분화: 원룸/wy6he → 467건 (p5→6)
[04:14:32]   7900/50673 타일 | 355건 | 4082s
[04:14:38]   8000/50673 타일 | 399건 | 4089s
[04:14:44]   8100/50673 타일 | 400건 | 4094s
[04:14:49]   8200/50673 타일 | 405건 | 4100s
[04:14:52]     🔍 세분화: 원룸/wy6wd → 749건 (p5→6)
[04:14:52]     🔍 세분화: 원룸/wy6wc → 651건 (p5→6)
[04:14:53]     🔍 세분화: 원룸/wy6wf → 1085건 (p5→6)
[04:14:54]     🔍 세분화: 원룸/wy6ws → 439건 (p5→6)
[04:15:00]   8300/50673 타일 | 417건 | 4110s
[04:15:11]   8400/50673 타일 | 435건 | 4121s
[04:15:16]   8500/50673 타일 | 464건 | 4127s
[04:15:22]   8600/50673 타일 | 473건 | 4133s
[04:15:26]     🔍 세분화: 원룸/wy78p → 405건 (p5→6)
[04:15:26]     🔍 세분화: 원룸/wy78k → 415건 (p5→6)
[04:15:26]     🔍 세분화: 원룸/wy78r → 430건 (p5→6)
[04:15:33]   8700/50673 타일 | 544건 | 4143s
[04:15:42]     🔍 세분화: 원룸/wy7ec → 637건 (p5→6)
[04:15:43]   8800/50673 타일 | 631건 | 4153s
[04:15:50]   8900/50673 타일 | 708건 | 4160s
[04:15:55]     🔍 세분화: 원룸/wy7kn → 745건 (p5→6)
[04:15:57]     🔍 세분화: 원룸/wy7m2 → 600건 (p5→6)
[04:16:00]   9000/50673 타일 | 798건 | 4170s
[04:16:07]   9100/50673 타일 | 802건 | 4177s
[04:16:13]   9200/50673 타일 | 829건 | 4184s
[04:16:19]   9300/50673 타일 | 840건 | 4190s
[04:16:24]   9400/50673 타일 | 851건 | 4194s
[04:16:29]   9500/50673 타일 | 851건 | 4200s
[04:16:34]   9600/50673 타일 | 851건 | 4205s
[04:16:39]   9700/50673 타일 | 851건 | 4209s
[04:16:44]   9800/50673 타일 | 851건 | 4215s
[04:16:50]   9900/50673 타일 | 851건 | 4220s
[04:16:55]   10000/50673 타일 | 851건 | 4225s
[04:17:00]   10100/50673 타일 | 851건 | 4230s
[04:17:05]   10200/50673 타일 | 851건 | 4235s
[04:17:10]   10300/50673 타일 | 865건 | 4241s
[04:17:15]   10400/50673 타일 | 865건 | 4246s
[04:17:20]   10500/50673 타일 | 865건 | 4251s
[04:17:25]   10600/50673 타일 | 865건 | 4256s
[04:17:30]   10700/50673 타일 | 865건 | 4260s
[04:17:36]   10800/50673 타일 | 883건 | 4266s
[04:17:40]   10900/50673 타일 | 883건 | 4271s
[04:17:46]   11000/50673 타일 | 883건 | 4276s
[04:17:50]   11100/50673 타일 | 883건 | 4281s
[04:17:55]   11200/50673 타일 | 883건 | 4286s
[04:18:00]   11300/50673 타일 | 883건 | 4291s
[04:18:05]   11400/50673 타일 | 883건 | 4296s
[04:18:10]   11500/50673 타일 | 883건 | 4301s
[04:18:16]   11600/50673 타일 | 883건 | 4306s
[04:18:21]   11700/50673 타일 | 883건 | 4311s
[04:18:26]   11800/50673 타일 | 887건 | 4316s
[04:18:32]     🔍 세분화: 원룸/wyd3k → 404건 (p5→6)
[04:18:32]   11900/50673 타일 | 925건 | 4322s
[04:18:32]     🔍 세분화: 원룸/wyd3m → 568건 (p5→6)
[04:18:33]     🔍 세분화: 원룸/wyd3t → 604건 (p5→6)
[04:18:44]   12000/50673 타일 | 1,008건 | 4334s
[04:18:46]     🔍 세분화: 원룸/wyd77 → 1062건 (p5→6)
[04:18:47]     🔍 세분화: 원룸/wyd7d → 540건 (p5→6)
[04:18:47]     🔍 세분화: 원룸/wyd7f → 539건 (p5→6)
[04:18:47]     🔍 세분화: 원룸/wyd7g → 583건 (p5→6)
[04:18:49]     🔍 세분화: 원룸/wyd7s → 500건 (p5→6)
[04:18:54]     🔍 세분화: 원룸/wyd8k → 660건 (p5→6)
[04:18:57]     🔍 세분화: 원룸/wyd8t → 452건 (p5→6)
[04:19:05]   12100/50673 타일 | 1,126건 | 4356s
[04:19:12]   12200/50673 타일 | 1,206건 | 4363s
[04:19:18]   12300/50673 타일 | 1,260건 | 4369s
[04:19:19]     🔍 세분화: 원룸/wydh5 → 445건 (p5→6)
[04:19:20]     🔍 세분화: 원룸/wydhk → 574건 (p5→6)
[04:19:23]     🔍 세분화: 원룸/wydj4 → 720건 (p5→6)
[04:19:23]     🔍 세분화: 원룸/wydj7 → 585건 (p5→6)
[04:19:27]     🔍 세분화: 원룸/wydjp → 636건 (p5→6)
[04:19:28]     🔍 세분화: 원룸/wydjr → 833건 (p5→6)
[04:19:30]     🔍 세분화: 원룸/wydjw → 546건 (p5→6)
[04:19:36]     🔍 세분화: 원룸/wydk4 → 520건 (p5→6)
[04:19:43]     🔍 세분화: 원룸/wydm0 → 689건 (p5→6)
[04:19:43]     🔍 세분화: 원룸/wydm2 → 549건 (p5→6)
[04:19:44]     🔍 세분화: 원룸/wydm6 → 1365건 (p5→6)
[04:19:45]     🔍 세분화: 원룸/wydm8 → 708건 (p5→6)
[04:19:46]   12400/50673 타일 | 1,429건 | 4397s
[04:19:47]     🔍 세분화: 원룸/wydmd → 422건 (p5→6)
[04:19:48]     🔍 세분화: 원룸/wydme → 871건 (p5→6)
[04:19:48]     🔍 세분화: 원룸/wydmf → 1030건 (p5→6)
[04:19:51]     🔍 세분화: 원룸/wydmg → 1179건 (p5→6)
